destination,destination_type,preferred_climate,distance,budget,food_preference,activity_preference,best_months,top_places_to_visit,local_food_specialty
Marina,Beach,Moderate,Long,Medium,Jain,Camping,Oct-Mar,Main Attractions,Regional Specialties
Jog Falls,Waterfall,Tropical,Long,Low,Non-Veg,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Hyderabad,City,Dry,Long,Medium,Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Gokarna,Beach,Dry,Long,Low,Non-Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Bengaluru,City,Cool,Short,High,Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Manali,Hill Station,Dry,Long,High,Veg,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Pushkar,Desert,Tropical,Long,Medium,Non-Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Nainital,Hill Station,Dry,Long,High,Vegan,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Nohkalikai,Waterfall,Moderate,Medium,Medium,Jain,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Jaisalmer,Desert,Moderate,Long,Low,Non-Veg,Photography,Oct-Mar,Main Attractions,Regional Specialties
Kune,Waterfall,Cool,Long,Medium,Vegan,Photography,Oct-Mar,Main Attractions,Regional Specialties
Pench,Forest,Moderate,Medium,Low,Non-Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Ooty,Hill Station,Dry,Short,Medium,Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Gokarna,Beach,Cool,Short,Low,Vegan,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Shimla,Hill Station,Moderate,Short,Medium,Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Chittorgarh,Fort,Moderate,Medium,High,Non-Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Hyderabad,City,Cool,Medium,Low,Jain,Photography,Oct-Mar,Main Attractions,Regional Specialties
Rann of Kutch,Desert,Cool,Short,High,Veg,Trekking,Nov-Feb,"White Desert, Kalo Dungar",Kutchi Dabeli
Barmer,Desert,Moderate,Long,Medium,Jain,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Mumbai,City,Tropical,Long,High,Vegan,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Pushkar,Desert,Tropical,Short,Low,Vegan,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Rann of Kutch,Desert,Dry,Long,Medium,Jain,Trekking,Nov-Feb,"White Desert, Kalo Dungar",Kutchi Dabeli
Nohkalikai,Waterfall,Cool,Short,Low,Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Gwalior,Fort,Tropical,Short,Low,Vegan,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Hogenakkal,Waterfall,Tropical,Short,High,Jain,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Ahmedabad,City,Moderate,Medium,High,Jain,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Manali,Hill Station,Tropical,Medium,High,Jain,Photography,Oct-Mar,Main Attractions,Regional Specialties
Golconda,Fort,Cool,Short,Low,Vegan,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Raigad,Fort,Tropical,Medium,Low,Jain,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Barmer,Desert,Dry,Medium,Medium,Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Golconda,Fort,Cool,Medium,Low,Jain,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
Bandipur,Forest,Cool,Short,High,Jain,Camping,Oct-Mar,Main Attractions,Regional Specialties
Hyderabad,City,Moderate,Short,Low,Vegan,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Bhimlat,Waterfall,Cool,Long,High,Non-Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Mumbai,City,Dry,Short,Medium,Vegan,Photography,Oct-Mar,Main Attractions,Regional Specialties
Bhimlat,Waterfall,Tropical,Short,Medium,Non-Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Gwalior,Fort,Cool,Short,Low,Vegan,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
Lonavala,Hill Station,Cool,Medium,Medium,Vegan,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Pushkar,Desert,Tropical,Medium,Low,Vegan,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Amber,Fort,Cool,Long,High,Vegan,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Jog Falls,Waterfall,Moderate,Medium,Low,Veg,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
Jaisalmer,Fort,Moderate,Long,Medium,Jain,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Marina,Beach,Tropical,Long,Medium,Jain,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
Jaisalmer,Fort,Moderate,Short,Low,Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Pushkar,Desert,Dry,Medium,Low,Non-Veg,Wildlife Safari,Oct-Mar,Main Attractions,Regional Specialties
Gwalior,Fort,Cool,Medium,High,Vegan,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Kaziranga,Forest,Tropical,Medium,Medium,Non-Veg,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Rann of Kutch,Desert,Cool,Medium,High,Veg,Wildlife Safari,Nov-Feb,"White Desert, Kalo Dungar",Kutchi Dabeli
Chennai,City,Tropical,Short,Medium,Non-Veg,Camping,Oct-Mar,Main Attractions,Regional Specialties
Delhi,City,Cool,Long,High,Non-Veg,Relaxing,Oct-Mar,"India Gate, Qutub Minar, Red Fort",Chole Bhature
Bengaluru,City,Tropical,Short,Medium,Non-Veg,Sightseeing,Oct-Mar,Main Attractions,Regional Specialties
Golconda,Fort,Cool,Long,Low,Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Osian,Desert,Tropical,Long,High,Non-Veg,Relaxing,Oct-Mar,Main Attractions,Regional Specialties
Kune,Waterfall,Tropical,Short,Low,Veg,Trekking,Oct-Mar,Main Attractions,Regional Specialties
Varkala,Beach,Moderate,Long,Low,Vegan,Adventure Sports,Oct-Mar,Main Attractions,Regional Specialties
